time,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-05-05,5.4741073e-17,0.011521247,0.028283777,4.899569e-17,0.011000757,0.00018782569,0.000284528,9.4201935e-17
1981-05-06,0.04907013,0.525157,0.018079543,0.07974254,0.9616937,0.11622158,0.030264188,0.14280692
1981-05-07,0.013707903,0.0057074027,0.023260692,0.0002669576,0.0032802115,0.014636319,0.0020887905,0.0
1981-05-08,0.049906943,0.00023414071,0.141654,0.0,0.022097465,0.0046990667,6.0472463e-05,0.0
1981-05-09,18.350163,10.98687,30.67248,8.619592,2.0492063,4.609875,2.9572625,1.0670176
1981-05-10,0.011692394,0.005551016,0.110385455,0.000610593,0.0010286078,0.0052512814,0.0016130005,0.0013967294
1981-05-11,0.039109975,0.00036511835,0.0036442573,0.0013267668,0.01720317,0.0001806456,0.0021279594,0.002278119
1981-05-12,1.13535e-16,0.0034613665,0.029497137,0.044710316,0.11908804,0.007129943,0.2674994,0.3434863
1981-05-13,2.3225169e-17,2.7352166e-17,0.024978278,0.04785669,0.15391369,0.0028076556,0.2633946,0.29258883
1981-05-14,0.10077049,0.3798976,0.100176245,0.029976536,0.013808085,0.0014876055,0.001941505,0.0010235497
1981-05-15,0.028617099,0.0,0.011261624,0.0,0.00038033514,0.0,0.0004151616,0.0
1981-05-16,0.003369005,0.079716705,0.022834454,0.024950732,0.08480606,0.0,0.00055071554,0.039637823
1981-05-17,0.0,4.533294e-05,0.0014159248,0.0,0.0,0.00020063235,0.0,0.0
1981-05-18,0.0,0.0,0.0058767903,0.0,0.00072576356,0.3473159,0.07374417,0.023370886
1981-05-19,0.012626108,0.08208564,0.020063821,0.012472536,0.11923181,0.0044298796,0.00047118234,4.2285592e-16
1981-05-20,0.02235675,0.13484174,0.012036933,0.021162976,0.2192376,0.00016501949,9.6129213e-17,0.0012922514
1981-05-21,0.00867214,0.18238272,0.061786458,0.29654387,0.94513935,0.45385534,0.5476824,1.1507224
1981-05-22,0.18830143,0.110624395,0.11709073,0.028290858,0.058346577,0.010015753,0.0014561483,0.025473353
1981-05-23,1.6919253e-16,0.047138967,2.0058243e-16,0.01843022,0.01557899,0.0056723976,0.0007812067,0.030092446
1981-05-24,0.0047232606,0.0,0.00032320328,0.0,0.0,1.1289096e-05,0.0,0.0
1981-05-25,2.2140676e-16,0.03229266,0.02170704,0.001743812,0.007767295,0.0186113,0.026132246,0.031131443
1981-05-26,0.0007608597,0.0,0.022032093,7.883234e-05,0.0,0.0047377977,0.00080140657,0.0
1981-05-27,0.003425345,0.004806449,0.039869715,0.0,0.0033339148,8.014733e-05,0.00016239163,0.0
1981-05-28,0.0009541931,0.024130298,0.009988054,0.08170823,0.5314386,0.030967908,0.094899744,0.10580358
1981-05-29,0.0,0.0,0.0037475151,0.0019666196,0.0019003449,0.00012732246,0.0025808827,0.003583211
1981-05-30,0.011525165,0.016660808,0.024343476,0.22718947,0.57629246,0.013751929,0.27656877,0.8216437
1981-05-31,4.5070855e-17,0.0016538162,4.9621773e-05,4.0174412e-17,0.0042265737,2.6263668e-05,0.00066733174,0.002965297
1981-06-01,0.0004531377,0.009816502,0.009025805,0.0068936446,0.029321514,0.0005565434,0.0011623541,0.009800089
1981-06-02,6.5746925e-16,2.2529528e-16,0.017821848,2.2970202e-16,0.0011226266,0.0004237532,0.0004717119,3.3211733e-16
1981-06-03,0.009865223,0.0010189002,0.092551045,0.0,0.008695794,3.2160817e-05,0.00071718055,0.0
1981-06-04,0.047864657,0.0094699375,0.3668348,0.106164984,0.41419682,0.18123318,0.21002106,0.26473972
1981-06-05,4.0007944e-17,1.3639137e-17,1.9215278e-17,1.5235519e-17,0.009956049,7.498236e-05,1.5241817e-17,2.1088179e-17
1981-06-06,0.0,0.0,0.009673324,0.0,0.011557765,0.0008543616,0.00046096867,0.0
1981-06-07,0.0,0.0077528325,0.014078629,0.0002366068,0.020312862,0.08331503,0.0006415309,0.0
1981-06-08,0.0033184506,0.008044254,0.30082217,1.7981158,1.2471896,0.66551155,2.5661423,1.8194495
1981-06-09,0.021836497,0.018985722,0.13579208,0.0014537212,0.045433573,0.00019014358,0.0003297521,0.02587348
1981-06-10,0.0,0.0,0.00011793612,0.00073015445,0.0091293305,0.011802001,0.0034372862,0.00083898625
1981-06-11,0.06850482,0.17765506,0.28784737,1.3985656,1.3359598,0.52498317,1.8449963,1.0226789
1981-06-12,6.749764e-16,0.0022000477,0.15659931,2.506493e-16,0.03341047,0.0011842753,0.0006804891,0.0028872325
1981-06-13,7.807919,2.5175612,2.4302714,1.1954089,0.22708708,1.2682923,0.17307672,0.058158055
1981-06-14,0.0010073314,0.017293775,0.0,0.0,0.0,7.305149e-05,0.0,0.0
