z,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-05-17 12:00:00,0.0045202393,0.023532413,0.026516553,0.022482717,0.014327928,0.010670731,0.013241888,0.008489112
1981-05-18 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-05-19 12:00:00,0.0021408438,0.020483257,0.016019743,0.027802078,0.06605677,0.006768779,0.015598148,0.026540108
1981-05-20 12:00:00,0.03111918,0.15304267,0.18305239,0.1476847,0.0901664,0.07373821,0.087753735,0.054154504
1981-05-21 12:00:00,0.0,0.5322275,0.0,0.0,0.0,4.21104,0.0,0.0
1981-05-22 12:00:00,1.8581665,0.027215835,0.025622416,0.023411063,0.016515018,0.008718497,0.012038124,0.008845377
1981-05-23 12:00:00,0.006780904,0.036037594,0.040045686,0.034731995,0.022420617,0.016356941,0.020701842,0.013433343
1981-05-24 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-05-25 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-05-26 12:00:00,0.004208121,0.014615239,0.058220007,0.03865266,0.015314437,0.05672972,0.05327804,0.020566363
1981-05-27 12:00:00,0.00060430536,1.8836003e-05,0.005323497,0.0015912077,0.0,0.0026096192,0.0016185448,0.00024407219
1981-05-28 12:00:00,0.018105803,0.091695316,0.10568098,0.0867367,0.053763933,0.042284075,0.050686963,0.031591814
1981-05-29 12:00:00,0.011734207,0.06536278,0.06585721,0.057941113,0.03790636,0.025869733,0.032587674,0.021042481
1981-05-30 12:00:00,0.01840013,0.15540053,0.077351384,0.077209316,0.049351163,0.025281213,0.032843225,0.02062625
1981-05-31 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-06-01 12:00:00,0.005217081,0.01701575,0.018707084,0.015713518,0.015983248,0.019560484,0.023936987,0.009667121
1981-06-02 12:00:00,0.005569433,0.018494716,0.019869091,0.016973268,0.017512826,0.020740189,0.025768809,0.010543829
1981-06-03 12:00:00,0.0014353333,0.005700737,0.004645768,0.0047857263,0.0056979265,0.00450697,0.0067619802,0.0032030067
1981-06-04 12:00:00,0.0024192822,0.0074006408,0.00813399,0.006069762,0.005245236,0.0082831085,0.008733428,0.002895607
1981-06-05 12:00:00,0.0012229409,0.00501582,0.0038765608,0.0040904735,0.0050239656,0.0036613124,0.0055967174,0.002722365
1981-06-06 12:00:00,0.0010939349,0.0046504326,0.003249732,0.0035523064,0.004504507,0.0028400125,0.0045036282,0.002265166
1981-06-07 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-06-08 12:00:00,0.008986084,0.03433378,0.030099073,0.02965509,0.034366153,0.030029925,0.042948574,0.019728359
1981-06-09 12:00:00,0.0040524635,0.0150919,0.013898943,0.013328692,0.015174115,0.01412767,0.0196651,0.008871895
1981-06-10 12:00:00,0.0027641621,0.010584809,0.008708277,0.00830831,0.009396356,0.0082765035,0.011224239,0.0049379207
1981-06-11 12:00:00,0.00973617,0.03488291,0.033966344,0.03113368,0.03426262,0.035004295,0.046388485,0.020129114
1981-06-12 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-06-13 12:00:00,0.035569992,0.17541504,0.06310489,0.05736537,0.033794127,0.04893982,0.058828007,0.019593861
1981-06-14 12:00:00,0.0064589796,0.024253998,0.022141086,0.021482777,0.02456746,0.022556966,0.03182563,0.014456107
1981-06-15 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-06-16 12:00:00,0.0021888723,0.0094142025,0.0073159863,0.00797582,0.010488276,0.0072006686,0.011191008,0.005661531
1981-06-17 12:00:00,0.028846443,0.29693818,0.09325151,0.17108493,0.39292002,0.0771539,0.13691106,0.07095969
1981-06-18 12:00:00,0.06855701,0.96452165,0.0,0.27731726,0.49070194,0.6174976,0.0,0.14956349
1981-06-19 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-06-20 12:00:00,0.0021158757,0.0077991057,0.00729699,0.0069146305,0.007824087,0.0074376394,0.010222605,0.0045783245
1981-06-21 12:00:00,0.0003971249,0.0013907244,0.0014249631,0.0012624513,0.0013894773,0.001491316,0.0018948928,0.0008051049
1981-06-22 12:00:00,0.0006726125,0.002535117,0.0023739326,0.0022668676,0.0026141694,0.0024846639,0.0033924668,0.0015175511
1981-06-23 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-06-24 12:00:00,0.0017754162,0.0068238126,0.0060414746,0.005957225,0.006988842,0.0060932864,0.008687264,0.0040127467
1981-06-25 12:00:00,0.0021431241,0.008306139,0.007240489,0.0072270897,0.008502648,0.0072737527,0.010526548,0.0048989267
1981-06-26 12:00:00,0.0032793328,0.012875504,0.011117959,0.011301578,0.0142226005,0.0111733,0.016410647,0.0079059005
1981-06-27 12:00:00,0.0,0.0,1.2694287e-05,0.0,0.0,1.9875033e-05,0.0,0.0
